"kategori","kelas","keparahan","id_entri","kode","halaman_pdf","detail"
"penanda_sisa","sumber","informasi","E01671","3435","695","Kode 3435 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'ASISTEN PROFESIONAL KESENIAN DAN BUDAYA LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01757","4219.00","727","Kode 4219.00 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'TELLER, KOLEKTOR UANG, DAN YBDI LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01786","4229.00","736","Kode 4229.00 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'TENAGA TATA USAHA INFORMASI PELANGGAN YTDL'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01820","44","748","Kode 44 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'TENAGA TATA USAHA LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01821","441","748","Kode 441 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'TENAGA TATA USAHA LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01893","5151","772","Kode 5151 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'PENGAWAS KEBERSIHAN DAN KERUMAHTANGGAAN DI KANTOR, HOTEL, DAN BANGUNAN LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01907","516","777","Kode 516 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'TENAGA USAHA JASA PERORANGAN LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01967","524","795","Kode 524 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'PEKERJA PENJUALAN LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E01968","5241","796","Kode 5241 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'MODEL FESYEN DAN MODEL LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E02542","754","959","Kode 754 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'PEKERJA PENGOLAHAN LAINNYA DAN YBDI'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E02597","8114","978","Kode 8114 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'OPERATOR MESIN PENGOLAHAN SEMEN, BATU, DAN MINERAL LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E02719","818","1017","Kode 818 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'OPERATOR MESIN STASIONER LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E02849","9112","1059","Kode 9112 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'TENAGA KEBERSIHAN DAN JURU BANTU DI KANTOR, HOTEL, DAN TEMPAT LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E02855","912","1061","Kode 912 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'TENAGA CUCI KENDARAAN, JENDELA, BINATU, DAN TENAGA KEBERSIHAN DENGAN TANGAN LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E02969","96","1097","Kode 96 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'PEKERJA SAMPAH DAN PEKERJA KASAR LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"penanda_sisa","sumber","informasi","E02984","962","1101","Kode 962 bertanda kelompok sisa=tidak menurut aturan penomoran, tetapi penamaan sumber berbunyi 'PEKERJA KASAR LAINNYA'. Gunakan kolom kelompok_sisa sebagai penanda kode, bukan sebagai tafsir judul."
"jumlah_tidak_sesuai","sumber","peringatan","","","","Subgolongan (4 digit): hasil ekstraksi 447; acuan publikasi 449 (Tabel 3, halaman cetak 13 / halaman PDF 45). Selisih ini sudah diverifikasi berasal dari dokumen sumber: Daftar Isi (halaman PDF 11-26) memuat 447 kode subgolongan; bagian uraian (halaman PDF 103-1108) memuat 447 judul subgolongan; pemindaian seluruh span pada kolom kode menemukan 447 kode empat digit. Angka 449 hanya muncul pada narasi halaman PDF 44, Tabel 3 halaman PDF 45, dan Tabel 19 halaman PDF 86. Tidak ada entri yang ditambahkan untuk menutup selisih."
"jumlah_tidak_sesuai","sumber","peringatan","","","","Subgolongan (4 digit), golongan pokok 2: hasil ekstraksi 93; acuan publikasi 94 (Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 2, halaman cetak 61-65 / halaman PDF 93-97). Selisih ini sudah diverifikasi berasal dari dokumen sumber: Tabel 27 (halaman PDF 94) dan narasi halaman PDF 93 menyebut 94 subgolongan, sedangkan Daftar Isi dan bagian uraian sama-sama memuat 93 kode empat digit pada golongan pokok 2. Tidak ada entri yang ditambahkan untuk menutup selisih."
"jumlah_tidak_sesuai","sumber","peringatan","","","","Subgolongan (4 digit), golongan pokok 6: hasil ekstraksi 18; acuan publikasi 19 (Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 6, halaman cetak 61-65 / halaman PDF 93-97). Selisih ini sudah diverifikasi berasal dari dokumen sumber: Tabel 31 (halaman PDF 96) dan narasi halaman PDF 96 menyebut 19 subgolongan, sedangkan Daftar Isi dan bagian uraian sama-sama memuat 18 kode empat digit pada golongan pokok 6. Tidak ada entri yang ditambahkan untuk menutup selisih."
